Date,AAPL
2018-01-02,40.267066955566406
2018-01-03,40.26005935668945
2018-01-04,40.44707489013672
2018-01-05,40.90757369995117
2018-01-08,40.75563430786133
2018-01-09,40.75094985961914
2018-01-10,40.74159622192383
2018-01-11,40.97303009033203
2018-01-12,41.3961296081543
2018-01-16,41.185752868652344
2018-01-17,41.86598205566406
2018-01-18,41.90336990356445
2018-01-19,41.71638107299805
2018-01-22,41.37507629394531
2018-01-23,41.384437561035156
2018-01-24,40.725242614746094
2018-01-25,39.99824523925781
2018-01-26,40.09175491333008
2018-01-29,39.26191711425781
2018-01-30,39.03050994873047
2018-01-31,39.138031005859375
2018-02-01,39.21983337402344
2018-02-02,37.51808547973633
2018-02-05,36.58073425292969
2018-02-06,38.109493255615234
2018-02-07,37.29367446899414
2018-02-08,36.26748275756836
2018-02-09,36.711082458496094
2018-02-12,38.189762115478516
2018-02-13,38.57234573364258
2018-02-14,39.28351593017578
2018-02-15,40.60259246826172
2018-02-16,40.471160888671875
2018-02-20,40.33502960205078
2018-02-21,40.15195083618164
2018-02-22,40.487586975097656
2018-02-23,41.191707611083984
2018-02-26,42.006168365478516
2018-02-27,41.870025634765625
2018-02-28,41.806644439697266
2018-03-01,41.07435607910156
2018-03-02,41.358367919921875
2018-03-05,41.50151824951172
2018-03-06,41.46631622314453
2018-03-07,41.081390380859375
2018-03-08,41.52970504760742
2018-03-09,42.24321365356445
2018-03-12,42.65161895751953
2018-03-13,42.24086380004883
2018-03-14,41.88175964355469
2018-03-15,41.93105697631836
2018-03-16,41.78317642211914
2018-03-19,41.144771575927734
2018-03-20,41.13068389892578
2018-03-21,40.19887924194336
2018-03-22,39.63088607788086
2018-03-23,38.71318054199219
2018-03-26,40.55094909667969
2018-03-27,39.51118087768555
2018-03-28,39.074623107910156
2018-03-29,39.37975311279297
2018-04-02,39.12156677246094
2018-04-03,39.522926330566406
2018-04-04,40.2786865234375
2018-04-05,40.557987213134766
2018-04-06,39.52058410644531
2018-04-09,39.91254806518555
2018-04-10,40.663612365722656
2018-04-11,40.47349548339844
2018-04-12,40.87250518798828
2018-04-13,41.01097869873047
2018-04-16,41.26682662963867
2018-04-17,41.83482360839844
2018-04-18,41.74093246459961
2018-04-19,40.557987213134766
2018-04-20,38.896240234375
2018-04-23,38.78358840942383
2018-04-24,38.243743896484375
2018-04-25,38.4103889465332
2018-04-26,38.5441780090332
2018-04-27,38.098236083984375
2018-04-30,38.78826904296875
2018-05-01,39.68956756591797
2018-05-02,41.44285583496094
2018-05-03,41.51796340942383
2018-05-04,43.146846771240234
2018-05-07,43.459022521972656
2018-05-08,43.66791534423828
2018-05-09,43.975379943847656
2018-05-10,44.604400634765625
2018-05-11,44.43475341796875
2018-05-14,44.33109664916992
2018-05-15,43.928192138671875
2018-05-16,44.33815002441406
2018-05-17,44.057777404785156
2018-05-18,43.89754867553711
2018-05-21,44.20857620239258
2018-05-22,44.09782028198242
2018-05-23,44.38056564331055
2018-05-24,44.33109664916992
2018-05-25,44.43240737915039
2018-05-29,44.27219009399414
2018-05-30,44.17794418334961
2018-05-31,44.02950668334961
2018-06-01,44.82352828979492
2018-06-04,45.198158264160156
2018-06-05,45.546875
2018-06-06,45.70473098754883
2018-06-07,45.582210540771484
2018-06-08,45.16751480102539
2018-06-11,45.056785583496094
2018-06-12,45.30418014526367
2018-06-13,44.93191146850586
2018-06-14,44.95546340942383
2018-06-15,44.493656158447266
2018-06-18,44.47010040283203
2018-06-19,43.75146484375
2018-06-20,43.942325592041016
2018-06-21,43.6972770690918
2018-06-22,43.57004928588867
2018-06-25,42.92210388183594
2018-06-26,43.45458984375
2018-06-27,43.39098358154297
2018-06-28,43.70669937133789
2018-06-29,43.61481857299805
2018-07-02,44.102542877197266
2018-07-03,43.33442687988281
2018-07-05,43.68315124511719
2018-07-06,44.2886848449707
2018-07-09,44.90363311767578
2018-07-10,44.849449157714844
2018-07-11,44.26746368408203
2018-07-12,45.00965881347656
2018-07-13,45.08035659790039
2018-07-16,44.98139190673828
2018-07-17,45.108612060546875
2018-07-18,44.86122512817383
2018-07-19,45.20994186401367
2018-07-20,45.106266021728516
2018-07-23,45.14632797241211
2018-07-24,45.47382736206055
2018-07-25,45.90264129638672
2018-07-26,45.75892639160156
2018-07-27,44.99787902832031
2018-07-30,44.74577331542969
2018-07-31,44.83531188964844
2018-08-01,47.47654342651367
2018-08-02,48.86434555053711
2018-08-03,49.00570297241211
2018-08-06,49.260169982910156
2018-08-07,48.798362731933594
2018-08-08,48.83135223388672
2018-08-09,49.21540451049805
2018-08-10,49.068817138671875
2018-08-13,49.38565444946289
2018-08-14,49.59371566772461
2018-08-15,49.70956039428711
2018-08-16,50.437801361083984
2018-08-17,51.445045471191406
2018-08-20,50.943790435791016
2018-08-21,50.844478607177734
2018-08-22,50.84685516357422
2018-08-23,50.950889587402344
