Date,AAPL
2018-01-03,0.004634432133378
2018-01-04,0.011320895265714
2018-01-05,-0.0037211265910082
2018-01-08,-0.00011494649899
2018-01-09,-0.0002295581175492
2018-01-10,0.0056644568462066
2018-01-11,0.0102733411529022
2018-01-12,-0.0050949963427657
2018-01-16,0.0163812206661498
2018-01-17,0.0008926379280372
2018-01-18,-0.0044723678332666
2018-01-19,-0.0082152054954804
2018-01-22,0.0002262281807545
2018-01-23,-0.0160567939774006
2018-01-24,-0.018012527728197
2018-01-25,0.0023351159042237
2018-01-26,-0.0209156811469432
2018-01-29,-0.0059113722251744
2018-01-30,0.0027510075952853
2018-01-31,0.0020879180036077
2018-02-01,-0.0443594760874673
2018-02-02,-0.0253013808913226
2018-02-05,0.0409417026244906
2018-02-06,-0.0216396909229066
2018-02-07,-0.0279021789798661
2018-02-08,0.0121571358143556
2018-02-09,0.0394887884225175
2018-02-12,0.0099681156960761
2018-02-13,0.0182694009645775
2018-02-14,0.0330269295626228
2018-02-15,-0.0032422748247274
2018-02-16,-0.0033693313489728
2018-02-20,-0.0045492843841793
2018-02-21,0.0083244047821335
2018-02-22,0.0172415318305681
2018-02-23,0.0195795088223552
2018-02-26,-0.0032462810668864
2018-02-27,-0.0015149074917373
2018-02-28,-0.0176712976961444
2018-03-01,0.006890781981948
2018-03-02,0.0034552418215038
2018-03-05,-0.0008485705021292
2018-03-06,-0.0093262102154008
2018-03-07,0.0108537252894437
2018-03-08,0.0170347618526002
2018-03-09,0.0096215150443528
2018-03-12,-0.0096771433612394
2018-03-13,-0.0085376875592531
2018-03-14,0.001176367539877
2018-03-15,-0.003532988406305
2018-03-16,-0.0153969192175551
2018-03-19,-0.0003424515138402
2018-03-20,-0.0229152941609113
2018-03-21,-0.0142303499646921
2018-03-22,-0.0234286411868866
2018-03-23,0.0463790613465364
2018-03-26,-0.0259754938299749
2018-03-27,-0.0111104611376325
2018-03-28,0.0077785729261099
2018-03-29,-0.0065779090507454
2018-04-02,0.0102070221790086
2018-04-03,0.0189415417007904
2018-04-04,0.0069102744636577
2018-04-05,-0.0259110803370245
2018-04-06,0.0098691095123082
2018-04-09,0.0186428851795083
2018-04-10,-0.004686320114264
2018-04-11,0.009810264829061
2018-04-12,0.0033822118008003
2018-04-13,0.0062191438996652
2018-04-16,0.0136701454754354
2018-04-17,-0.0022468521425372
2018-04-18,-0.0287495081029525
2018-04-19,-0.0418351392481916
2018-04-20,-0.0029004158709084
2018-04-23,-0.0140171893761702
2018-04-24,0.0043479798518998
