Close,High,Low,Open,Volume
AAPL,AAPL,AAPL,AAPL,AAPL
40.2670783996582,40.27643070005527,39.565805677893536,39.776189634537445,102223600
40.26005554199219,40.802374685276824,40.19694358149866,40.330183509397145,118071600
40.44706344604492,40.54991732565844,40.22499451516484,40.33252097704683,89738400
40.90756607055664,40.994055211711675,40.451739619141776,40.54290490942475,94640000
40.75563049316406,41.05016372371372,40.657449182790344,40.75563049316406,82271200
40.750938415527344,40.921580362547864,40.53588198042548,40.80236534205777,86336000
40.741615295410156,40.74395515447264,40.44006952559076,40.47747160200724,95839600
40.973026275634766,41.02211693438228,40.78835936614299,40.81173298285246,74670800
41.3961181640625,41.459233692882485,41.05950676616482,41.18339796582762,101672400
41.185752868652344,41.93377648897424,41.17406427506678,41.585476374529335,118263600
41.86598587036133,41.901048082180715,40.923943066330935,41.176398125146065,137547200
41.90337371826172,42.09973275509077,41.667279896046836,41.92908718934309,124773600
41.71636962890625,41.97817691644085,41.47092351341417,41.75143183103793,129700400
41.375091552734375,41.55742217931307,41.28158994771982,41.44521953992409,108434400
41.384437561035156,41.94545785474811,41.33301417846406,41.44521681046371,130756400
40.725250244140625,41.445224095841,40.48681648822852,41.4335355022149,204420400
39.99824905395508,40.89587706717088,39.86266926547092,40.79302318853761,166116000
40.091758728027344,40.206301219057266,39.75281097181956,40.206301219057266,156572000
39.26191711425781,39.77618297744424,39.05387305096097,39.77618297744424,202561600
39.0305061340332,39.124007745796824,38.499875391787135,38.693894624711604,184192800
39.13801956176758,39.37411693794769,38.92062678192371,39.00711592226718,129915600
39.21983337402344,39.41618881952679,38.981399723422854,39.07724115522439,188923200
37.518096923828125,38.990770600564964,37.42459530527834,38.803763796607285,346375200
36.58071517944336,38.30818309023463,36.466172711856956,37.19082244248908,290954000
38.10948181152344,38.27077504398108,35.99865204513449,36.19267118223165,272975200
37.293670654296875,38.19597476327134,37.18380790882007,38.12351050765929,206434400
36.267494201660156,37.63497773878801,36.23944442797,37.46900825511856,217562000
36.711082458496094,37.05845311203358,35.2629186182967,36.86599229990847,282690400
38.18977355957031,38.466730422889015,36.969275246625436,37.20164009234235,243278000
38.57234191894531,38.66857413140311,37.94096978650724,38.01138368785197,130196800
39.28351593017578,39.32341630642415,38.22966752219258,38.26721850010876,162579600
40.60260009765625,40.62606901581881,39.666103234935505,39.85152308844231,204588800
40.47114562988281,41.032107382495894,40.31623936113969,40.45471775078253,160704400
40.33501052856445,40.900660247326115,40.234083127038424,40.38195192353985,135722000
40.151954650878906,40.86781930456375,40.1378690027883,40.56504412652464,149886400
40.487586975097656,40.82791670005755,40.30216713810029,40.32329023698601,123967600
41.191707611083984,41.22691276622604,40.73167328929835,40.76218681135434,135249600
42.006160736083984,42.10473876856565,41.358360702033096,41.39122004619365,152648800
41.87002182006836,42.36056609144427,41.816039387401,42.036667914040706,155712400
41.8066520690918,42.39342858513631,41.790224188970356,42.07422201715211,151128400
41.07435989379883,42.19627640895745,40.52513788389774,41.9052339409774,195208000
41.35835647583008,41.37947957033199,40.47584232615504,40.55799246886187,153816000
41.50152587890625,41.71745917963857,40.96169083637588,41.12364170727491,113605600
41.46632385253906,41.837167053383304,41.33958169646813,41.75736630395347,95154000
41.08140182495117,41.27386626316505,40.903023033099316,41.0602787275082,126814000
41.529701232910156,41.57194742905669,41.090793481964944,41.187022122543205,95096400
42.24321365356445,42.24790886845284,41.635314046604286,41.7691008104262,128740800
