,0
sma5,0.006614892297651304
sma20,0.0046206574925062
sma50,0.02665198991852483
ema12,0.013796425657919243
ema26,0.009631685251350098
price_vs_sma20,0.08398990714245352
sma_crossover,5.663802704134532e-05
macd,0.03776299801288702
macd_signal,0.01693129575849027
rsi_14,0.05943456707373749
vol20,0.05414649286457692
vol5,0.07738845620921922
vol_ratio,0.02809026372335528
BB_middle,0.006995773557595167
BB_upper,0.010541573060609996
BB_lower,0.018342093745724375
BB_percent,0.034623377680245246
Bandwith,0.0355239545871923
volume_ratio,0.04815148900832147
ret_lag1,0.03678776667605283
ret_lag2,0.04148858664609438
ret_lag3,0.04323927370967054
ret_lag4,0.0989809767586079
ret_lag5,0.05213039527075043
mom_10,0.09140075082626398
mom_21,0.03260940301584034
mom_63,0.03006831602731831
