Date,sma5,sma20,sma50,ema12,ema26,price_vs_sma20,sma_crossover,macd,macd_signal,rsi_14,vol20,vol5,vol_ratio,BB_middle,BB_upper,BB_lower,BB_percent,Bandwith,volume_ratio,ret_lag1,ret_lag2,ret_lag3,ret_lag4,ret_lag5,mom_10,mom_21,mom_63
2018-01-02,,,,40.267066955566406,40.267066955566406,,0,0.0,0.0,,,,,,,,,,,,,,,,,,
2018-01-03,,,,40.263271172841385,40.26342839461106,,0,-0.00015722176967614132,-8.734542759785629e-05,0.0,,,,,,,,,,,,,,,,,
2018-01-04,,,,40.33500980615065,40.329410797389876,,0,0.005599008760775348,0.0022431276004239485,67.2441225687872,,,,,,,,,,-0.0001740431880672,,,,,,,
2018-01-05,,,,40.51574585136326,40.491039879470236,,0,0.024705971893027368,0.009852492198189334,88.2306802294019,,,,,,,,,,0.004634432133378,-0.0001740431880672,,,,,,
2018-01-08,40.52748184204101,,,40.580922687638044,40.55240041876003,,0,0.02852226887801379,0.015406328668865338,71.8692384830471,,,,,,,,,,0.011320895265714,0.004634432133378,-0.0001740431880672,,,,,
2018-01-09,40.62425842285156,,,40.622248235525724,40.59216828819058,,0,0.030079947335146073,0.019383695164843073,71.42944180669264,,0.09222026971383293,,,,,,,,-0.0037211265910082,0.011320895265714,0.004634432133378,-0.0001740431880672,,,,
2018-01-10,40.72056579589844,,,40.64888032112372,40.618743271591164,,0,0.030137049532555693,0.02210508228192102,70.50172499785428,,0.09231826445493097,,,,,,,,-0.00011494649899,-0.0037211265910082,0.011320895265714,0.004634432133378,-0.0001740431880672,,,
2018-01-11,40.8257568359375,,,40.71652538180269,40.67582765672453,,0,0.04069772507816083,0.026573243980582723,78.08569913231395,,0.09417530754933971,,,,,,,,-0.0002295581175492,-0.00011494649899,-0.0037211265910082,0.011320895265714,0.004634432133378,,,
2018-01-12,40.923468017578124,,,40.85097528691066,40.782592218669805,,0,0.0683830682408555,0.03623152080431347,85.45036019116938,,0.08815378563332743,,,,,,,,0.0056644568462066,-0.0002295581175492,-0.00011494649899,-0.0037211265910082,0.011320895265714,,,
2018-01-16,41.009491729736325,,,40.914415508541275,40.83822446453062,,0,0.07619104401065613,0.04518477364967296,72.41829324120776,,0.09445320808844003,,,,,,,,0.0102733411529022,0.0056644568462066,-0.0002295581175492,-0.00011494649899,-0.0037211265910082,,,
2018-01-17,41.23249816894531,,,41.08852924277473,40.9715249496947,,0,0.11700429308003635,0.06089847412889346,81.98519330044665,,0.1342882657668731,,,,,,,,-0.0050949963427657,0.0102733411529022,0.0056644568462066,-0.0002295581175492,-0.00011494649899,,,
2018-01-18,41.46485290527344,,,41.23340523725568,41.086016784810184,,0,0.14738845244549736,0.07947289422166406,82.34761433486022,,0.13153312833287378,,,,,,,,0.0163812206661498,-0.0050949963427657,0.0102733411529022,0.0056644568462066,-0.0002295581175492,0.0389396753259703,,
2018-01-19,41.61352310180664,,,41.317268190342865,41.15986384747034,,0,0.1574043428725247,0.09596589633168108,74.29706812882766,,0.14975747204440137,,,,,,,,0.0008926379280372,0.0163812206661498,-0.0050949963427657,0.0102733411529022,0.0056644568462066,0.040006356442074696,,
2018-01-22,41.60931243896484,,,41.3271110646772,41.18403476640256,,0,0.14307629827463586,0.10582142756795995,62.32086427107353,,0.15524183140405842,,,,,,,,-0.0044723678332666,0.0008926379280372,0.0163812206661498,-0.0050949963427657,0.0102733411529022,0.0308995564754301,,
2018-01-23,41.64904937744141,,,41.33671423421252,41.20571343982926,,0,0.13100079438326162,0.11104094642459687,62.499415355670465,,0.14892708080041803,,,,,,,,-0.0082152054954804,-0.0044723678332666,0.0008926379280372,0.0163812206661498,-0.0050949963427657,0.011363455714235698,,
2018-01-24,41.420901489257815,,,41.235663727914144,41.155452244551945,,0,0.08021148336219852,0.10469647275425717,45.97720792207231,,0.11041819358513259,,,,,,,,0.0002262281807545,-0.0082152054954804,-0.0044723678332666,0.0008926379280372,0.0163812206661498,0.015310810485998399,,
2018-01-25,41.039876556396486,,,41.033477856883,41.0379856277772,,0,-0.004507770894200291,0.0823524820842895,34.99091696703138,,0.1221393679855193,,,,,,,,-0.0160567939774006,0.0002262281807545,-0.0082152054954804,-0.0044723678332666,0.0008926379280372,-0.0006310369924122008,,
2018-01-26,40.71495132446289,,,40.88106178825169,40.94449970144291,,0,-0.0634379131912155,0.0526595018503196,37.07372344873646,,0.14628664328575444,,,,,,,,-0.018012527728197,-0.0160567939774006,0.0002262281807545,-0.0082152054954804,-0.0044723678332666,-0.01841400660306,,
2018-01-29,40.29231948852539,,,40.621086607275004,40.78227439325024,,0,-0.16118778597523686,0.009264658686805092,28.3830214430281,,0.17309646862469644,,,,,,,,0.0023351159042237,-0.018012527728197,-0.0160567939774006,0.0002262281807545,-0.0082152054954804,-0.021743347545042903,,
2018-01-30,39.82153396606445,40.7518892288208,,40.367402429418945,40.617069691387094,-0.04224047799170316,0,-0.24966726196814903,-0.04312574568251004,26.516338816477955,,0.15355055794716105,,40.7518892288208,42.322666502143775,39.181111955497826,-0.04793868912069226,0.07708978911397707,1.468372553912186,-0.0209156811469432,0.0023351159042237,-0.018012527728197,-0.0160567939774006,0.0002262281807545,-0.052932369844888305,,
2018-01-31,39.50409164428711,40.69543743133545,,40.1724283644017,40.48035139482282,-0.038269804277294095,0,-0.30792303042111513,-0.09657821463769313,28.857557795937183,0.15064799472723892,0.1763811642472095,1.1708165420094885,40.69543743133545,42.41379775870588,38.977077103965016,0.046833571321057935,0.08444977795212481,1.0243714355326683,-0.0059113722251744,-0.0209156811469432,0.0023351159042237,-0.018012527728197,-0.0160567939774006,-0.053748745727297,,
2018-02-01,39.348409271240236,40.64342613220215,,40.022064374829945,40.36593362743064,-0.03502639648409922,0,-0.34386925260069745,-0.14640407216713347,30.66742054916884,0.15110977117546837,0.1612146107649854,1.0668708549481112,40.64342613220215,42.47642024773843,38.81043201666587,0.11167557873959343,0.09019879916491502,1.4491611698886409,0.0027510075952853,-0.0059113722251744,-0.0209156811469432,0.0023351159042237,-0.018012527728197,-0.06737895879816151,,
2018-02-02,38.833675384521484,40.496976661682126,,39.628394433338144,40.111678353529875,-0.07355835984577086,0,-0.48328392019173094,-0.21418012094843566,19.53410662006344,0.21296752140787556,0.31466979642430043,1.4775482869129355,40.496976661682126,42.80301549444223,38.190937828922024,-0.1458892061198202,0.11388696257624856,2.418836093406161,0.0020879180036077,0.0027510075952853,-0.0059113722251744,-0.0209156811469432,0.0023351159042237,-0.066183678722591,-0.0263513654685835,
2018-02-05,38.29743881225586,40.28063468933105,,39.1508582024134,39.80115810055665,-0.09185308188257868,0,-0.6502998981432455,-0.3018179342596103,16.072862379284388,0.2181860985855677,0.32281844255364617,1.479555501685842,40.28063468933105,43.16405040548216,37.397218973179946,-0.14158290039081387,0.14316634970574696,1.9014759485388408,-0.0443594760874673,0.0020879180036077,0.0027510075952853,-0.0059113722251744,-0.0209156811469432,-0.1060707869767917,-0.0705367983679836,
2018-02-06,38.11323547363281,40.14832763671875,,38.988149919834896,39.65442375126105,-0.05078254814376981,0,-0.6662738314261532,-0.3749855330659068,35.99283170539563,0.27377545431548633,0.5132906431756282,1.8748599813631777,40.14832763671875,43.179048821584566,37.11760645185293,0.1636387419462045,0.15097621063020267,1.6793304608636774,-0.0253013808913226,-0.0443594760874673,0.0020879180036077,0.0027510075952853,-0.0059113722251744,-0.1231569623726339,-0.1004726113926842,
2018-02-07,37.744364166259764,39.9754638671875,,38.724029889013835,39.45221436890266,-0.06708588565984386,0,-0.7281844798888244,-0.4458394653007401,31.6725799728939,0.28096246628246907,0.5199213443877836,1.8505010696520376,39.9754638671875,43.246333388954305,36.704594345420695,0.0900494684445936,0.16364385577282003,1.2247306427210025,0.0409417026244906,-0.0253013808913226,-0.0443594760874673,0.0020879180036077,0.0027510075952853,-0.0824414879288978,-0.0708518040339076,
